replay_path,beatmap_hash,accuracy
/home/amine/PycharmProjects/osunator/replays/suitable/0ffcae9951875aff5e28a7e8a4eea376.osr,8b3aeb13cf16573c95fd22d9c1d02e92,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/84f13ae6a0cab5ac00784745ae714802.osr,dd79224b05cef88e83445340943c6bbf,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/84ff3bde4569673ffaeae08640f149d6.osr,4519c2ad32c80d9fe292235403bcc969,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/f30510a11cf45b48f4262e9075af199e.osr,bf2b69e3a01683735a68d63a3c677ca3,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/f308d56abb08ec0883bce2b48299374e.osr,12fbd752da4d6e5a044ee2e1cc61b124,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/127a45b450e853062c2cd01278efd81f.osr,6ce5cbcbcd90d92a43b0249de9e3708e,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/84ca8dcf457d9a52e35d859b54558242.osr,def405114e483c0e09099f6cf6b68a40,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/84af2de4dbd831ee8f2ae1077e4c0f1e.osr,540322e8e5af5a4a1d3b5b6cb25f7328,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/843a0a33b3497688f7110691902b42d1.osr,9699c722530c70fc159daf43521e8ca4,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/8451f503c379e7aae93af6da9194c497.osr,57097fa5df0a93b297722abf0bb1c6a1,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/cf13de82e24cdb89a8c8a6082e53d84e.osr,b1f2cc5453b84a0b5d8b5a822586c16b,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/9763b0279d518f355da5cebb1ad52efe.osr,20bef46658068a3bc21910aa6c685e32,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/0106d88ab7347c28e3dd3f5716ad5964.osr,09ca0c120bb84e33c991315bd2f3e2ac,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/ff168304ec936a40284118979a62c0af.osr,d7e9d7955f74398956d246f3554adafd,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/cb20d272c2da581b6d39ccefd35e6e1e.osr,540322e8e5af5a4a1d3b5b6cb25f7328,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/4d7b1aa2a4461e3d92345d76ac650980.osr,1b203dd3c97fd1d5af0f0edb776d075c,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/47b7f1011d3aa367dd4834e611c4512e.osr,8b791cbee5406794b202c657644f3d11,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/4d55993747bdd29543dda7d0f4ffaed8.osr,bad33ecfc33de1b3f004c3850645f03f,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/cb806058459ac3724c3fbb77be16b67f.osr,0e762244610513e5e410e83331fe4bcd,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/cea5a761dc24eb90c2e87eef59a829c3.osr,7979904eb459f01f1f29108bb2b7fd2e,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/cb98ddb8535a2fb59d33cb7c5c4fbe28.osr,69cd5866e68ae5944387305c67bb839d,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/cbaac759eeb9c02074d6e8777659b151.osr,47f09229905a474404411a784fef04c7,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/46ecbcebb79debe2d474ca0300c551b0.osr,8b9bca465dcfe1c5c17ac11846555162,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/974a78cea3ab90c59a1446c6a5ba82c0.osr,fc83b3e88e76bdce43ae267b4e6fa199,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/0118c229792fe7627cb53b2ed19409ca.osr,9ccc293efc8024effc53a8f320b4371a,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/cb0943f84130ed40aa4fe6841d54c0f5.osr,1b3d858e173a32bf47a86b44e7782f94,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/4df75694c3aab8ee55e42d1b484f12f6.osr,540322e8e5af5a4a1d3b5b6cb25f7328,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/4dd4068a2a9b5ed15f9d63b0fd3050ec.osr,ec8c39c3272b747bdaf89627c258643e,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/4de5676cf99cae34a3094f65618ba087.osr,def405114e483c0e09099f6cf6b68a40,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/cf37ccec79ee6dd67cecc7e6111a0ff4.osr,b08f5e2cc9965476dc21a13aa58d82b8,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/4da986c9554bb6643bc87f7cbb52b38e.osr,145a1972819b296557f5f15c78c290a0,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/8780b9fdf2b84b6ad6fbf84c214f1590.osr,9568062f1a47c504b94a29edcf2f60a9,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/8789c850682d36382f8e2ef4bd1e61e8.osr,f0b6e402718e8545e1a89e0008bc3d34,100.0
