beatmap_hash,n_replays
170d7dc6fb45d596b53fb49f2787f2c5,21
89d7bffd6de4fef474b6f992d02e535a,21
789a5eca4522536ce045d300bd710bac,21
6ef20bea410d65adb867adb928fc612c,21
5636e213d6d4264856c536cc9ad80560,21
1c858d4387c8be97a058bdb23e27cebc,21
28decc36f4acdc7c2c93bd9fbb6af592,21
e11664eb22d3f0e0479e404ce52dbc24,21
b5d6bfa75817388bb2fcedf5424bf2c5,21
7aa65c64d19a2f563946b3db20c55d8c,21
5854b0941429232d504af0fad0924dec,21
70a772cc2b6fdea1daaa4848c1b98927,21
75215ce235c9e8806b612e9a569bb7aa,20
78633b39a5cce74e563ecbc05c7ade8a,20
c2f141037463889a67539c23126c7bbc,20
3cc35cf76a29f0f730b91ad22102178c,20
a9ec58b89b45f0c5df758ca20ef5ed3f,20
eaeaceb95926e599a4ce2a1dc8d0519a,20
bdb0607299d8e2b5f325c45a05721081,20
5e619a253232a14305c39b0b29c8537a,20
eef87f88298498552cf0eaedd1a435b9,20
60e27ae09e1829a49a3fa740c738dd6a,20
27f9c5f8496bfdab8623e3be6cf73f25,20
8e1436fa88ba3d835e24caeaa4dfc3cf,20
67af9f7f7d0e03a0279d360050eb77b6,20
b30959a30f75b5ca1a6b83461741365f,20
92baf9e079cd49195f1b0a0af2240ad3,20
bd9998fd0c41985bc29664b88c782f1e,20
cf0d810b861ee0c1bdb76ca3a43419f9,20
0808f6435515e9763662a5789bf00eb9,20
187e7cf3b65e9654a0c518d35d7b6b3f,20
764e59f25ffebd771a6a12f3185f878f,20
5f2a7e16bf25f848d9db4d028d52780f,20
817df07d27efb220d3657427ad7cc483,20
0ea7dca4e125121cb8b9913fdc443555,20
457ba07ae660318d79a6577f0b32b489,20
1b093cebe6a9d54e546f781b3b2fa93e,20
d3a917f7c57fb56554909e8c99546946,20
9ab06c1c07c0a2b14085991e19bd2441,20
e726e45541c7067c79c1f4ec3afe0be5,20
b9f1e1c72bae0274e4d2c950d2551d0a,20
f6fde74bf722188f8580f61711867784,20
92aa05a35a02655b48baf76ca9cfb849,20
b0f51338ed32c34c2509f80c3a49b627,20
1067daf8d23af9f2755deea84843061e,20
e5cbf8b0d9f684afdbec9bdec0a547cd,20
413f986051d087cd7238c52df4d730ec,20
74cbdb430b57c2e931c8a0cd45ec72a5,20
a1f936c17afe6169d96b23b28dd61a10,20
0a432c02abddbb7ef8cdc2c3589b28bc,20
4340878311b6ba27c5db38841edd851e,20
4818f5145f113462743abaedcaaa2fec,19
55145c0587e3418f567a42bf25c5f7ca,19
a641e3ae281bf1a5f9c542e802e781ef,19
8a203970d7ed1fd42eab7e1380e030e2,19
167aa45ec9c108ce5229433a23440755,19
b180dd637db9f2b94b23316dd1e2c2b2,19
345c61d613c47c63a7e26b7af7611a8e,19
543a27d2bbda2a2db21219953cad7ee5,19
4b52e0b0adf9b0cdb07815bcdf48221a,19
608646494e879ee9512f2e8c289e1994,19
e6c744834bfee9221244c5764ef1e5c4,19
47f09229905a474404411a784fef04c7,19
dc09a77fcc669806bd01d4742c5b2442,19
2e90bbdfebfd7b259dcf22ea41a4dd9f,19
c7adff572de94ef2d8e28dba0f787fcf,19
2f6f8a1495a748d3a81c444defba14d2,19
59477201f5b5cf82e634ad6435908e85,19
bb1cdf1dc6c5b81abe580a258ed7fd4c,19
6000382bf2346ae1e49474d38dab4000,19
0b2f3b80b782f9700c6e04e63c7d4d14,19
69cd5866e68ae5944387305c67bb839d,19
a6377f1f33ac8c51a08c0de4ffd1d2b2,19
107d8e06d1db66a3045bbebb49de1d58,19
dcf594266984946628123f8c9425d144,19
3bf5c146bfa91fad9aae3300eb4b0213,18
b0a6fa2904ac9328685ff247cb5e0c5a,18
bc5e32a0536db380f81aa628b955680a,18
8b27b56e03fb615776d6df5eb43e1690,18
3413f3a1d832cf019a06a6034c288980,18
c03b5a81f95c193dd4c3ff49d2d944af,18
3de99dffdb7129cf93f86d2300f3e1b0,18
4f0d77fc68c278db6d730bcc3e12dc92,18
a859d31d0acd865c8d856ddab7535bcb,18
d61b4e5f42e33f2e3186888f74e4bd4e,18
453a9930bca57909e9c4f115bf85ef3e,18
8fcec73ea096582261c47d46e1a19bed,18
d5763aef80bad2576667b9c46530c2b3,18
64a76daacfe7460476f00feb225862f8,18
9cab77f7fc9cb40e161cdd8c0b7c915f,18
6e76c4d0f2e8985ab55d477132a6e12a,18
